Edges,RuntimeInSeconds,Graph
18196,54.967,2
18196,53.3861,2
18196,55.2631,2
18196,58.8114,2
18196,52.5862,2
18196,54.194,2
18196,56.5666,2
18196,52.9089,2
18196,55.7629,2
18196,58.9619,2
18396,31.9287,2
18396,33.4869,2
18396,29.8398,2
18396,33.155,2
18396,33.2946,2
18396,27.1119,2
18396,31.8881,2
18396,31.9488,2
18396,25.0708,2
18396,26.4081,2
18596,31.9749,2
18596,44.1958,2
18596,42.6632,2
18596,36.0971,2
18596,44.2079,2
18596,33.1522,2
18596,41.3804,2
18596,33.4978,2
18596,33.9039,2
18596,30.2341,2
18796,164.8494,2
18796,136.4537,2
18796,186.5425,2
18796,193.8621,2
18796,194.8024,2
18796,189.1036,2
18796,166.6256,2
18796,187.7567,2
18796,157.7231,2
18796,199.1467,2
18996,129.4101,2
18996,134.4791,2
18996,127.4412,2
18996,106.8384,2
18996,131.749,2
18996,106.5375,2
18996,127.7906,2
18996,127.8894,2
18996,125.9443,2
18996,108.7473,2
13196,14.0127,2
13196,14.8454,2
13196,14.5753,2
13196,14.5119,2
13196,14.8245,2
13196,14.4495,2
13196,14.5569,2
13196,15.0467,2
13196,14.5076,2
13196,14.3405,2
13396,115.6916,2
13396,137.752,2
13396,144.2576,2
13396,118.4124,2
13396,143.6954,2
13396,149.1911,2
13396,154.7433,2
13396,128.6486,2
13396,138.3386,2
13396,147.8918,2
13596,28.1206,2
13596,27.4047,2
13596,28.6211,2
13596,27.0123,2
13596,29.9618,2
13596,28.1865,2
13596,28.8258,2
13596,28.0515,2
13596,28.0697,2
13596,27.4811,2
13796,52.6909,2
13796,49.9354,2
13796,48.9676,2
13796,48.9504,2
13796,54.24,2
13796,45.59,2
13796,53.9632,2
13796,51.1201,2
13796,47.4408,2
13796,49.5892,2
13996,32.1673,2
13996,31.4635,2
13996,32.6625,2
13996,33.0425,2
13996,31.7825,2
13996,30.985,2
13996,35.3849,2
13996,31.3798,2
13996,31.0468,2
13996,32.1149,2
14196,128.1962,2
14196,117.6477,2
14196,124.9808,2
14196,101.3621,2
14196,98.9105,2
14196,115.5749,2
14196,108.8917,2
14196,73.8308,2
14196,116.3416,2
14196,125.3923,2
14396,30.6184,2
14396,30.9541,2
14396,31.3254,2
14396,31.335,2
14396,30.7403,2
14396,33.5811,2
14396,31.2617,2
14396,31.9427,2
14396,32.0651,2
14396,32.2215,2
14596,54.2957,2
14596,59.4054,2
14596,58.6349,2
14596,60.9207,2
14596,50.3557,2
14596,52.4372,2
14596,56.1775,2
14596,49.9396,2
14596,61.3181,2
14596,55.2926,2
14796,25.1805,2
14796,27.4091,2
14796,28.4104,2
14796,28.792,2
14796,28.0939,2
14796,28.5717,2
14796,24.6934,2
14796,27.0927,2
14796,25.4923,2
14796,27.9717,2
14996,167.597,2
14996,154.2701,2
14996,136.3708,2
14996,192.0487,2
14996,205.1674,2
14996,185.8194,2
14996,203.4465,2
14996,209.4022,2
14996,198.0789,2
14996,198.9687,2
12196,18.285,2
12196,17.1274,2
12196,18.1004,2
12196,18.5907,2
12196,17.2086,2
12196,17.7002,2
12196,17.7049,2
12196,17.4017,2
12196,17.9676,2
12196,17.4776,2
12396,110.2876,2
12396,119.1888,2
12396,127.6911,2
12396,106.2181,2
12396,127.1524,2
12396,125.2808,2
12396,127.2473,2
12396,103.6714,2
12396,116.7026,2
12396,108.7215,2
12596,78.7701,2
12596,83.8857,2
12596,84.8549,2
12596,87.1973,2
12596,85.8124,2
12596,78.4132,2
12596,87.2424,2
12596,82.9174,2
12596,84.0526,2
12596,87.2488,2
12796,90.8701,2
12796,85.0124,2
12796,84.8631,2
12796,91.5765,2
12796,81.2439,2
12796,84.5437,2
12796,86.972,2
12796,92.952,2
12796,78.1642,2
12796,88.512,2
12996,12.0172,2
12996,11.951,2
12996,12.1818,2
12996,12.2143,2
12996,12.0411,2
12996,11.923,2
12996,11.6034,2
12996,11.2348,2
12996,11.8454,2
12996,11.077,2
16196,34.4302,2
16196,44.0031,2
16196,55.8394,2
16196,37.1154,2
16196,38.7587,2
16196,37.5606,2
16196,35.5401,2
16196,35.8853,2
16196,35.5806,2
16196,41.4031,2
16396,60.4669,2
16396,62.9611,2
16396,55.4214,2
16396,65.9838,2
16396,64.9015,2
16396,64.3156,2
16396,65.5004,2
16396,53.4171,2
16396,63.6095,2
16396,60.7393,2
16596,17.6629,2
16596,14.5588,2
16596,14.8929,2
16596,14.1331,2
16596,13.9608,2
16596,14.4688,2
16596,14.2612,2
16596,14.3688,2
16596,14.5405,2
16596,13.7878,2
16796,156.0901,2
16796,299.1091,2
16796,223.9461,2
16796,299.1585,2
16796,213.8734,2
16796,270.2926,2
16796,206.8384,2
16796,185.2586,2
16796,158.7404,2
16796,214.7272,2
16996,42.3322,2
16996,39.0744,2
16996,40.2616,2
16996,43.0811,2
16996,37.7803,2
16996,39.0209,2
16996,38.7242,2
16996,43.2221,2
16996,41.5264,2
16996,38.7621,2
17196,45.4593,2
17196,50.8949,2
17196,51.2008,2
17196,50.7686,2
17196,49.5773,2
17196,46.6206,2
17196,51.7141,2
17196,51.5628,2
17196,44.1971,2
17196,54.6885,2
17396,117.6727,2
17396,111.3296,2
17396,120.1961,2
17396,121.2708,2
17396,109.1383,2
17396,102.7261,2
17396,107.1246,2
17396,126.0254,2
17396,111.6342,2
17396,114.3273,2
17596,63.513,2
17596,59.5467,2
17596,61.7977,2
17596,62.5569,2
17596,67.1511,2
17596,61.8329,2
17596,59.8206,2
17596,61.2826,2
17596,66.2833,2
17596,69.1986,2
17796,22.5176,2
17796,23.1524,2
17796,22.3379,2
17796,26.7591,2
17796,25.1411,2
17796,24.8149,2
17796,24.5805,2
17796,24.3544,2
17796,28.2814,2
17796,24.325,2
17996,26.791,2
17996,25.5717,2
17996,28.3146,2
17996,26.5964,2
17996,27.5583,2
17996,23.4099,2
17996,25.3339,2
17996,25.5015,2
17996,26.1199,2
17996,24.3929,2
4196,12.5151,2
4196,11.9962,2
4196,11.4804,2
4196,12.6492,2
4196,11.3058,2
4196,11.2902,2
4196,12.5416,2
4196,12.1526,2
4196,11.7401,2
4196,12.9366,2
4396,32.7467,2
4396,33.5073,2
4396,29.7936,2
4396,33.9733,2
4396,34.6362,2
4396,30.6297,2
4396,29.4648,2
4396,30.7357,2
4396,32.0193,2
4396,32.5154,2
4596,78.7564,2
4596,85.8299,2
4596,88.237,2
4596,95.339,2
4596,80.0904,2
4596,77.6868,2
4596,100.6216,2
4596,94.6792,2
4596,74.3752,2
4596,70.9326,2
4796,47.2907,2
4796,47.5457,2
4796,48.5633,2
4796,50.8819,2
4796,52.7241,2
4796,51.1607,2
4796,46.7707,2
4796,60.8306,2
4796,52.8724,2
4796,55.5637,2
4996,29.8265,2
4996,29.3315,2
4996,32.1917,2
4996,30.3836,2
4996,31.6797,2
4996,29.4551,2
4996,28.5314,2
4996,30.1137,2
4996,26.8814,2
4996,29.026,2
5196,14.0882,2
5196,13.8436,2
5196,14.615,2
5196,13.7005,2
5196,14.1143,2
5196,13.4203,2
5196,14.5086,2
5196,14.3674,2
5196,14.2842,2
5196,14.0519,2
5396,77.117,2
5396,77.4186,2
5396,78.3285,2
5396,81.6526,2
5396,74.1949,2
5396,74.9236,2
5396,68.2789,2
5396,83.1368,2
5396,80.5262,2
5396,81.2169,2
5596,14.2012,2
5596,12.997,2
5596,12.454,2
5596,14.9727,2
5596,14.048,2
5596,13.6171,2
5596,14.4004,2
5596,14.4745,2
5596,13.9488,2
5596,14.7118,2
5796,11.9795,2
5796,12.6052,2
5796,12.7128,2
5796,11.4816,2
5796,12.6378,2
5796,12.2966,2
5796,12.4371,2
5796,12.0284,2
5796,12.8145,2
5796,11.5362,2
5996,25.278,2
5996,25.8411,2
5996,27.3316,2
5996,24.3107,2
5996,26.3171,2
5996,27.0666,2
5996,27.5844,2
5996,28.4369,2
5996,25.5901,2
5996,27.5854,2
6196,17.2511,2
6196,16.5913,2
6196,16.6467,2
6196,17.5459,2
6196,17.3765,2
6196,15.8069,2
6196,17.1196,2
6196,18.238,2
6196,14.8291,2
6196,17.1471,2
6396,153.4098,2
6396,122.9386,2
6396,132.0547,2
6396,145.6574,2
6396,191.7595,2
6396,169.4087,2
6396,137.5479,2
6396,187.961,2
6396,124.0035,2
6396,138.3948,2
6596,16.3863,2
6596,15.285,2
6596,15.3334,2
6596,16.6049,2
6596,14.3279,2
6596,15.069,2
6596,15.8716,2
6596,15.5974,2
6596,16.1898,2
6596,16.4724,2
6796,56.1988,2
6796,62.8689,2
6796,49.3788,2
6796,52.2899,2
6796,45.5614,2
6796,51.8124,2
6796,52.7807,2
6796,55.8452,2
6796,57.4549,2
6796,51.8328,2
6996,108.6634,2
6996,102.0138,2
6996,98.1267,2
6996,107.0334,2
6996,111.5654,2
6996,105.7616,2
6996,100.4676,2
6996,112.8542,2
6996,111.7033,2
6996,114.4975,2
7196,82.7614,2
7196,83.0417,2
7196,86.7063,2
7196,73.7842,2
7196,76.3708,2
7196,79.335,2
7196,77.3921,2
7196,79.3029,2
7196,80.9604,2
7196,79.6297,2
7396,21.4147,2
7396,22.7593,2
7396,21.8253,2
7396,20.6442,2
7396,22.8219,2
7396,20.3954,2
7396,21.5381,2
7396,20.9639,2
7396,20.9969,2
7396,22.8509,2
7596,13.9897,2
7596,13.7344,2
7596,16.1386,2
7596,15.3945,2
7596,14.7692,2
7596,15.5326,2
7596,13.6185,2
7596,14.4258,2
7596,14.7671,2
7596,15.9793,2
7796,20.758,2
7796,20.511,2
7796,19.8899,2
7796,21.3689,2
7796,21.002,2
7796,19.736,2
7796,19.9484,2
7796,20.2588,2
7796,18.4911,2
7796,19.8188,2
7996,23.574,2
7996,21.9977,2
7996,21.3442,2
7996,24.1651,2
7996,23.5369,2
7996,22.852,2
7996,21.3458,2
7996,22.8675,2
7996,21.3719,2
7996,22.1285,2
19196,15.5507,2
19196,18.655,2
19196,19.7545,2
19196,18.8024,2
19196,16.8602,2
19196,15.1397,2
19196,16.4718,2
19196,15.4482,2
19196,18.0429,2
19196,16.9789,2
19396,165.9308,2
19396,205.4854,2
19396,203.4584,2
19396,187.6368,2
19396,231.5777,2
19396,216.2992,2
19396,218.2065,2
19396,168.7659,2
19396,244.2573,2
19396,201.4666,2
19596,326.0486,2
19596,317.5292,2
19596,307.4199,2
19596,322.8756,2
19596,312.0962,2
19596,248.3546,2
19596,266.2758,2
19596,277.1458,2
19596,253.1335,2
19596,342.9868,2
19796,141.4541,2
19796,156.0848,2
19796,129.8153,2
19796,138.2236,2
19796,130.5061,2
19796,124.3353,2
19796,130.174,2
19796,150.331,2
19796,152.0384,2
19796,114.9691,2
19996,16.68,2
19996,16.8224,2
19996,13.9598,2
19996,14.5572,2
19996,16.7344,2
19996,13.8759,2
19996,14.5951,2
19996,16.5488,2
19996,12.4726,2
19996,16.3703,2
15196,26.071,2
15196,27.8857,2
15196,27.2932,2
15196,28.5326,2
15196,28.0402,2
15196,29.3417,2
15196,26.7373,2
15196,27.3411,2
15196,28.4352,2
15196,30.5191,2
15396,10.3085,2
15396,10.3244,2
15396,10.4203,2
15396,10.586,2
15396,9.9189,2
15396,10.493,2
15396,10.4895,2
15396,10.5846,2
15396,10.6685,2
15396,10.5636,2
15596,20.8347,2
15596,21.4978,2
15596,21.4868,2
15596,21.0875,2
15596,20.7997,2
15596,20.7281,2
15596,20.5217,2
15596,19.856,2
15596,19.9375,2
15596,21.9243,2
15796,53.0256,2
15796,47.3257,2
15796,45.7097,2
15796,49.1862,2
15796,46.7933,2
15796,49.493,2
15796,54.2639,2
15796,43.2519,2
15796,51.4803,2
15796,51.954,2
15996,19.887,2
15996,18.1187,2
15996,19.0735,2
15996,18.5741,2
15996,18.8752,2
15996,17.6052,2
15996,18.8925,2
15996,18.7892,2
15996,18.2006,2
15996,19.39,2
8196,10.9556,2
8196,10.8903,2
8196,10.46,2
8196,10.5364,2
8196,10.8151,2
8196,10.306,2
8196,10.7949,2
8196,10.5356,2
8196,10.6347,2
8196,10.9728,2
8396,11.2771,2
8396,11.7176,2
8396,11.1484,2
8396,12.0502,2
8396,11.5307,2
8396,12.203,2
8396,11.1434,2
8396,11.5423,2
8396,11.7979,2
8396,11.5836,2
8596,10.851,2
8596,11.8111,2
8596,11.1987,2
8596,11.5461,2
8596,11.5697,2
8596,11.4581,2
8596,11.3029,2
8596,12.0939,2
8596,11.7918,2
8596,11.6353,2
8796,9.3053,2
8796,9.7376,2
8796,9.5578,2
8796,9.2445,2
8796,9.6859,2
8796,9.4446,2
8796,9.6829,2
8796,9.3412,2
8796,9.7617,2
8796,9.3973,2
8996,23.0521,2
8996,22.8494,2
8996,25.0165,2
8996,25.0877,2
8996,25.2448,2
8996,24.0631,2
8996,23.0255,2
8996,24.0958,2
8996,23.6037,2
8996,24.5868,2
9196,18.3423,2
9196,17.7702,2
9196,18.7256,2
9196,17.9216,2
9196,18.5857,2
9196,17.7921,2
9196,16.2117,2
9196,18.754,2
9196,17.8832,2
9196,18.0558,2
9396,31.7269,2
9396,30.0134,2
9396,31.4783,2
9396,32.2099,2
9396,28.4059,2
9396,30.0018,2
9396,31.5438,2
9396,29.0629,2
9396,29.5745,2
9396,32.8734,2
9596,127.1643,2
9596,108.3604,2
9596,119.5178,2
9596,86.6003,2
9596,96.5248,2
9596,81.5151,2
9596,77.5364,2
9596,117.8441,2
9596,129.7669,2
9596,123.5736,2
9796,37.1346,2
9796,37.9041,2
9796,37.4348,2
9796,36.9947,2
9796,38.2764,2
9796,39.6098,2
9796,39.2408,2
9796,36.0422,2
9796,36.8661,2
9796,35.7829,2
9996,22.7996,2
9996,23.4535,2
9996,23.7058,2
9996,21.0343,2
9996,23.5444,2
9996,22.1812,2
9996,21.8946,2
9996,22.5186,2
9996,22.5594,2
9996,23.8884,2
10196,21.5478,2
10196,22.6885,2
10196,23.3604,2
10196,23.0272,2
10196,23.1468,2
10196,25.0572,2
10196,22.9754,2
10196,21.5644,2
10196,23.6739,2
10196,24.4192,2
10396,9.7089,2
10396,9.4849,2
10396,9.5819,2
10396,9.6724,2
10396,9.5732,2
10396,9.4548,2
10396,9.538,2
10396,9.7577,2
10396,9.8247,2
10396,9.5788,2
10596,43.2813,2
10596,43.2851,2
10596,43.1797,2
10596,45.2946,2
10596,48.313,2
10596,40.8242,2
10596,43.7967,2
10596,48.1512,2
10596,46.4002,2
10596,44.1803,2
10796,42.1142,2
10796,45.4504,2
10796,44.2704,2
10796,39.5281,2
10796,45.213,2
10796,46.5794,2
10796,45.1894,2
10796,44.7193,2
10796,42.991,2
10796,39.8192,2
10996,23.9673,2
10996,24.303,2
10996,24.7034,2
10996,22.1788,2
10996,23.323,2
10996,25.2457,2
10996,25.6741,2
10996,23.1518,2
10996,24.5573,2
10996,25.0966,2
11196,71.4441,2
11196,69.4727,2
11196,66.3596,2
11196,74.0449,2
11196,74.4232,2
11196,64.6847,2
11196,66.1192,2
11196,62.0247,2
11196,67.9067,2
11196,72.4295,2
11396,34.4609,2
11396,38.9521,2
11396,35.6208,2
11396,36.9868,2
11396,33.7382,2
11396,32.8252,2
11396,36.3426,2
11396,38.4378,2
11396,36.6668,2
11396,33.9083,2
11596,12.3914,2
11596,11.9185,2
11596,12.7679,2
11596,12.6913,2
11596,12.0067,2
11596,12.0367,2
11596,12.2829,2
11596,12.8266,2
11596,12.7424,2
11596,11.9904,2
11796,13.5691,2
11796,12.4787,2
11796,13.5381,2
11796,13.2204,2
11796,13.2717,2
11796,12.5415,2
11796,13.3938,2
11796,13.0221,2
11796,13.0734,2
11796,13.7414,2
11996,18.7519,2
11996,19.4922,2
11996,20.3606,2
11996,21.2432,2
11996,19.705,2
11996,20.1406,2
11996,18.8518,2
11996,19.8952,2
11996,19.397,2
11996,19.5286,2
196,0.0629,2
196,0.0703,2
196,0.0698,2
196,0.0624,2
196,0.0541,2
196,0.0666,2
196,0.0474,2
196,0.0824,2
196,0.0663,2
196,0.0581,2
396,0.077,2
396,0.0834,2
396,0.0763,2
396,0.082,2
396,0.0778,2
396,0.0696,2
396,0.0801,2
396,0.0795,2
396,0.0782,2
396,0.0747,2
596,1.6274,2
596,1.1432,2
596,1.7166,2
596,1.318,2
596,1.0628,2
596,1.1681,2
596,1.6112,2
596,1.0875,2
596,1.4358,2
596,1.2255,2
796,0.2453,2
796,0.2157,2
796,0.2089,2
796,0.2207,2
796,0.2144,2
796,0.1947,2
796,0.2259,2
796,0.2097,2
796,0.2156,2
796,0.209,2
996,1.4905,2
996,1.2054,2
996,1.3492,2
996,1.1219,2
996,1.3096,2
996,1.2757,2
996,1.3332,2
996,1.2245,2
996,1.5886,2
996,1.4208,2
1196,1.356,2
1196,1.3175,2
1196,1.5527,2
1196,1.7527,2
1196,1.5707,2
1196,1.4141,2
1196,1.6096,2
1196,1.5195,2
1196,1.6487,2
1196,1.7777,2
1396,1.2233,2
1396,1.1944,2
1396,1.138,2
1396,1.0626,2
1396,1.2373,2
1396,1.1207,2
1396,1.1113,2
1396,1.1922,2
1396,1.0663,2
1396,1.0739,2
1596,1.825,2
1596,1.8457,2
1596,1.6945,2
1596,1.9176,2
1596,1.7691,2
1596,1.6707,2
1596,1.8518,2
1596,1.8167,2
1596,1.5722,2
1596,1.9512,2
1796,0.7897,2
1796,0.8018,2
1796,0.8674,2
1796,0.8646,2
1796,0.9019,2
1796,0.9557,2
1796,0.8886,2
1796,0.8857,2
1796,0.8749,2
1796,0.8358,2
1996,11.2603,2
1996,11.8436,2
1996,11.1202,2
1996,11.6329,2
1996,11.53,2
1996,12.035,2
1996,11.3117,2
1996,11.6247,2
1996,11.5063,2
1996,11.4787,2
2196,10.4031,2
2196,9.9946,2
2196,10.4713,2
2196,10.5673,2
2196,10.9705,2
2196,10.8181,2
2196,10.6333,2
2196,11.2309,2
2196,11.1578,2
2196,10.4367,2
2396,10.7002,2
2396,11.6615,2
2396,10.6039,2
2396,11.0239,2
2396,10.9722,2
2396,11.0101,2
2396,10.9382,2
2396,10.5563,2
2396,11.3472,2
2396,10.7505,2
2596,8.3553,2
2596,8.2091,2
2596,8.209,2
2596,8.5083,2
2596,8.2937,2
2596,8.2481,2
2596,8.6528,2
2596,8.2581,2
2596,8.1586,2
2596,8.4403,2
2796,8.835,2
2796,8.9651,2
2796,8.5456,2
2796,8.7624,2
2796,8.8285,2
2796,8.4176,2
2796,8.7577,2
2796,8.7468,2
2796,8.7886,2
2796,8.3944,2
2996,9.4334,2
2996,9.2129,2
2996,8.974,2
2996,8.7757,2
2996,8.6239,2
2996,9.4542,2
2996,9.1674,2
2996,8.9528,2
2996,8.9269,2
2996,8.8373,2
3196,9.9422,2
3196,9.9268,2
3196,9.6156,2
3196,10.0318,2
3196,9.985,2
3196,10.1186,2
3196,9.7462,2
3196,9.7371,2
3196,9.8721,2
3196,9.7844,2
3396,30.955,2
3396,24.4456,2
3396,26.67,2
3396,24.9041,2
3396,22.4686,2
3396,27.154,2
3396,28.2158,2
3396,27.4752,2
3396,29.7754,2
3396,24.1859,2
3596,21.1992,2
3596,18.6104,2
3596,20.8526,2
3596,20.5856,2
3596,21.2363,2
3596,19.2698,2
3596,21.3419,2
3596,19.3493,2
3596,19.6607,2
3596,22.4798,2
3796,18.0733,2
3796,17.9234,2
3796,20.9133,2
3796,17.6358,2
3796,19.0685,2
3796,18.3049,2
3796,19.139,2
3796,19.1549,2
3796,19.4148,2
3796,18.9898,2
3996,8.5152,2
3996,8.2784,2
3996,8.4057,2
3996,8.6379,2
3996,8.2346,2
3996,7.8048,2
3996,8.3629,2
3996,8.6023,2
3996,8.3916,2
